time,year,month,latitude,longitude,depth,mag,magType,place,type,felt,alert,tsunami,sig,nst,dmin,rms,horizontalError,depthError,id
1998-02-06,1998,2,11.7407,126.9094,132.6,5.5,mw,Ring of Fire - Philippines,earthquake,7,green,0,95,141,1.861,0.42,3.3,4.9,us0000000000
1978-09-27,1978,9,36.1143,-124.632,16.5,5.3,mw,California - USA,earthquake,2,green,0,45,79,3.259,1.95,9.7,1.6,us0000000001
1997-03-13,1997,3,-40.1653,169.0966,98.7,5.8,mb,New Zealand,earthquake,5,green,0,138,35,3.198,0.92,16.1,4.7,us0000000002
1964-10-18,1964,10,42.6848,6.66,18.0,5.6,ms,Mediterranean Belt,earthquake,3,green,0,112,59,1.646,0.56,19.0,4.5,us0000000003
2003-01-24,2003,1,13.0434,-84.0367,52.4,5.3,ms,Caribbean,earthquake,2,green,0,54,62,0.957,1.57,5.1,1.6,us0000000004
2008-02-02,2008,2,59.1272,-159.417,22.1,5.2,mw,Ring of Fire - Alaska,earthquake,1,green,0,41,21,2.035,1.19,19.8,7.1,us0000000005
1934-07-13,1934,7,-7.9824,98.2674,102.6,5.3,mw,Ring of Fire - Indonesia,earthquake,1,green,0,50,35,1.669,0.11,13.9,1.9,us0000000006
2009-03-26,2009,3,32.6871,-118.5576,24.1,5.1,mw,California - USA,earthquake,0,green,0,11,192,3.15,0.35,6.3,0.8,us0000000007
2022-01-15,2022,1,-4.429,112.1308,36.6,5.8,mw,Ring of Fire - Indonesia,earthquake,4,green,0,137,166,4.498,0.2,2.4,10.8,us0000000008
1949-02-12,1949,2,3.7866,137.6883,31.4,5.4,ms,Ring of Fire - Indonesia,earthquake,2,green,0,78,53,0.731,1.41,17.7,1.4,us0000000009
1997-02-23,1997,2,30.0158,142.01,30.4,5.1,mw,Ring of Fire - Japan,earthquake,1,green,0,22,64,0.546,1.9,2.1,7.9,us0000000010
1960-06-09,1960,6,-35.4436,-65.0315,53.7,5.2,ms,Ring of Fire - Chile,earthquake,0,green,0,31,93,2.365,1.95,16.8,1.4,us0000000011
